"district.code","grade","mean_math","sd_math","mean_perclvl.x","sd_perclvl.x","mean_ela","sd_ela","mean_perclvl.y","sd_perclvl.y"
"Los Angeles Unified",11,2521.00663900415,65.873338352781,0.218730923694779,0.229151591182523,2562.94439834025,65.6784951784626,0.432824096385542,0.236926821724571
"Los Angeles Unified",13,NA,NA,0.27818955532575,0.212127537188487,NA,NA,0.377476732161324,0.202857278885337
"Los Angeles Unified",3,2419.38104347826,38.4566361376129,0.385981724137931,0.217024135164732,2412.02104347826,41.4669856375401,0.377378793103448,0.210801864216354
"Los Angeles Unified",4,2454.76822916667,39.6970959094151,0.32234275862069,0.21057869364421,2450.01319444444,44.574494163722,0.381901206896552,0.210085360433948
"Los Angeles Unified",5,2473.62542662116,43.6298194730804,0.276717060810811,0.227575131037668,2480.59250425894,45.4755184300574,0.374997804054054,0.207614725942872
"Los Angeles Unified",6,2486.49339622641,46.6683985152158,0.276237267080745,0.229705825232576,2496.41666666667,41.6164642887265,0.327083850931677,0.188753704558351
"Los Angeles Unified",7,2498.63849557522,54.8347187297527,0.266615450643777,0.217150131447888,2521.7592920354,47.5047508962923,0.359777253218884,0.206630813219454
"Los Angeles Unified",8,2512.49815668203,57.1657701283226,0.273279111111111,0.217908083217097,2538.64930875576,44.4812581421531,0.349736444444444,0.190923780383359
"San Diego Unified",11,2565.87659574468,69.244036669204,0.240033962264151,0.215999030396147,2599.06808510638,60.5091804259377,0.505107547169811,0.284978588837462
"San Diego Unified",13,NA,NA,0.380747619047619,0.230781966895827,NA,NA,0.485270995670996,0.215745638030075
"San Diego Unified",3,2445.09931972789,44.247913806714,0.500563815789474,0.243610552449629,2434.37891156463,45.5245413738606,0.469519736842105,0.237525276184284
"San Diego Unified",4,2480.85310344828,45.1300852092722,0.440124342105263,0.247221793601115,2473.39724137931,49.0019414933219,0.457952631578947,0.243389577325416
"San Diego Unified",5,2505.8986013986,48.0465369859264,0.371838255033557,0.245700344739365,2506.37272727273,47.2956407213392,0.479359731543624,0.22830087808649
"San Diego Unified",6,2505.20428571429,51.96367024032,0.29918,0.216477867291386,2512.61285714286,43.3346563502446,0.398690666666667,0.214625784434546
"San Diego Unified",7,2516.57714285714,57.2170876762634,0.330272,0.235736115959281,2537.56428571429,48.158003942079,0.399456,0.224928364115742
"San Diego Unified",8,2529.13142857143,61.2305302811377,0.278328,0.21324413528262,2554.31142857143,46.8379956713491,0.402506666666667,0.220675226896373
