"","school_name","total","perc_amind","sys_amind","std_amind","perc_asian","sys_asian","std_asian","perc_black","sys_black","std_black","perc_hisp","sys_hisp","std_hisp","perc_white","sys_white","std_white","perc_multiple","sys_multiple","std_multiple"
"1","DSST COLLEGE VIEW HIGH SCHOOL",138,0.0289855072463768,0.00835419197965734,2.62477243674761,0.0289855072463768,0.0273360141886278,0.0578261868818219,0.0144927536231884,0.139115428963291,-0.925394885601622,0.811594202898551,0.575849506046724,0.855484398122291,0.072463768115942,0.208556840034529,-0.582998040456854,0.0289855072463768,0.0382197133173248,-0.126096635840622
"2","DSST: BYERS MIDDLE SCHOOL",447,0.00894854586129754,0.00835419197965734,0.0756153287386226,0.0357941834451902,0.0273360141886278,0.296517571753544,0.0961968680089485,0.139115428963291,-0.318694946133526,0.263982102908277,0.575849506046724,-1.13172300896146,0.54586129753915,0.208556840034529,1.44495112785898,0.0492170022371365,0.0382197133173248,0.150172210312525
"3","DSST: COLE HIGH SCHOOL",286,0.00699300699300699,0.00835419197965734,-0.173173682243992,0.0244755244755245,0.0273360141886278,-0.100280029640851,0.202797202797203,0.139115428963291,0.472873717813519,0.622377622377622,0.575849506046724,0.168843999999375,0.129370629370629,0.208556840034529,-0.3392193665514,0.013986013986014,0.0382197133173248,-0.330920485873206
"4","DSST: COLE MIDDLE SCHOOL",442,0.00904977375565611,0.00835419197965734,0.0884938187188993,0.00452488687782805,0.0273360141886278,-0.799688428309885,0.171945701357466,0.139115428963291,0.243783613885406,0.728506787330317,0.575849506046724,0.553971835387514,0.0701357466063348,0.208556840034529,-0.592970862431615,0.0158371040723982,0.0382197133173248,-0.305643138720934
"5","DSST: COLLEGE VIEW MIDDLE SCHOOL",453,0.00441501103752759,0.00835419197965734,-0.501153388748913,0.0551876379690949,0.0273360141886278,0.976392834225913,0.00441501103752759,0.139115428963291,-1.00022790793668,0.856512141280353,0.575849506046724,1.01848528846937,0.0618101545253863,0.208556840034529,-0.628636189111431,0.00883002207505519,0.0382197133173248,-0.401327538672128
"6","DSST: CONSERVATORY GREEN MIDDLE SCHOOL",296,0,0.00835419197965734,-1.06284318551782,0.0439189189189189,0.0273360141886278,0.581345973826581,0.297297297297297,0.139115428963291,1.174591153269,0.388513513513513,0.575849506046724,-0.679816008415437,0.195945945945946,0.208556840034529,-0.0540227833673346,0.0743243243243243,0.0382197133173248,0.493022350956648
"7","DSST: GREEN VALLEY RANCH HIGH SCHOOL",518,0.00386100386100386,0.00835419197965734,-0.571635699154278,0.1003861003861,0.0273360141886278,2.5609128309718,0.222007722007722,0.139115428963291,0.615522847906825,0.569498069498069,0.575849506046724,-0.0230484712725183,0.0656370656370656,0.208556840034529,-0.612242395895813,0.0308880308880309,0.0382197133173248,-0.100116943707197
"8","DSST: GREEN VALLEY RANCH MIDDLE SCHOOL",458,0.00873362445414847,0.00835419197965734,0.0482724386582277,0.0807860262008734,0.0273360141886278,1.87379411446187,0.264192139737991,0.139115428963291,0.928766359275352,0.526200873362445,0.575849506046724,-0.180167915616788,0.0676855895196507,0.208556840034529,-0.603466891070038,0.0480349344978166,0.0382197133173248,0.134030620649185
"9","DSST: STAPLETON HIGH SCHOOL",522,0.00766283524904215,0.00835419197965734,-0.0879562968729353,0.0363984674329502,0.0273360141886278,0.317701922085755,0.243295019157088,0.139115428963291,0.773593246063062,0.363984674329502,0.575849506046724,-0.768827721112252,0.295019157088123,0.208556840034529,0.370388886847662,0.053639846743295,0.0382197133173248,0.210567853293397
"10","DSST: STAPLETON MIDDLE SCHOOL",460,0.00434782608695652,0.00835419197965734,-0.509700842178005,0.0608695652173913,0.0273360141886278,1.17558384346683,0.256521739130435,0.139115428963291,0.871809232706073,0.360869565217391,0.575849506046724,-0.78013201461046,0.25,0.208556840034529,0.177534981829664,0.0673913043478261,0.0382197133173248,0.39834929638808
