"","school_name","perc_lep","sys_lep","std_lep","perc_swd","sys_swd","std_swd"
"1","DSST COLLEGE VIEW HIGH SCHOOL",0.536231884057971,0.311539361875234,1.16337434665495,0.0144927536231884,0.0982115333435043,-0.268726170639856
"2","DSST: BYERS MIDDLE SCHOOL",0.16331096196868,0.311539361875234,-0.767471548326608,0.0671140939597315,0.0982115333435043,-0.0998186527589626
"3","DSST: COLE HIGH SCHOOL",0.363636363636364,0.311539361875234,0.269738907186439,0.153846153846154,0.0982115333435043,0.178579747251746
"4","DSST: COLE MIDDLE SCHOOL",0.48868778280543,0.311539361875234,0.91720866568499,0.124434389140271,0.0982115333435043,0.084171886463801
"5","DSST: COLLEGE VIEW MIDDLE SCHOOL",0.536423841059603,0.311539361875234,1.16436822864617,0.0772626931567329,0.0982115333435043,-0.0672429963927353
"6","DSST: CONSERVATORY GREEN MIDDLE SCHOOL",0.253378378378378,0.311539361875234,-0.301135950227284,0.097972972972973,0.0982115333435043,-0.000765747124521876
"7","DSST: GREEN VALLEY RANCH HIGH SCHOOL",0.322393822393822,0.311539361875234,0.0562003612378122,0.0463320463320463,0.0982115333435043,-0.166526267175943
"8","DSST: GREEN VALLEY RANCH MIDDLE SCHOOL",0.399563318777293,0.311539361875234,0.455755324459053,0.0764192139737991,0.0982115333435043,-0.0699504526122533
"9","DSST: STAPLETON HIGH SCHOOL",0.168582375478927,0.311539361875234,-0.740178128906783,0.0977011494252874,0.0982115333435043,-0.00163826463258068
"10","DSST: STAPLETON MIDDLE SCHOOL",0.204347826086957,0.311539361875234,-0.554997922063509,0.0630434782608696,0.0982115333435043,-0.112884788846422
